com.gsnathan.pdfviewer - Cumulative average rating by country for 2018-02-23 - 2019-03-27
,,Metric,Cumulative average rating,Cumulative average rating,Cumulative average rating,Cumulative average rating,Notes
,,Dimension,All countries,Canada,Germany,India
Period,Date
2018-02-23 - 2019-03-27,2018-11-15,,4.56,4.71,4.45,4.20
2018-02-23 - 2019-03-27,2018-11-16,,4.56,4.63,4.45,4.20
2018-02-23 - 2019-03-27,2018-11-17,,4.56,4.63,4.45,4.20
2018-02-23 - 2019-03-27,2018-11-18,,4.57,4.63,4.45,4.33
2018-02-23 - 2019-03-27,2018-11-19,,4.57,4.63,4.45,4.33
2018-02-23 - 2019-03-27,2018-11-20,,4.56,4.63,4.42,4.33
2018-02-23 - 2019-03-27,2018-11-21,,4.56,4.63,4.40,4.33
2018-02-23 - 2019-03-27,2018-11-22,,4.55,4.63,4.40,4.33
2018-02-23 - 2019-03-27,2018-11-23,,4.56,4.63,4.43,4.33,Rollout of release - Started rollout of 2.0 at 100%
2018-02-23 - 2019-03-27,2018-11-24,,4.56,4.63,4.46,4.33
2018-02-23 - 2019-03-27,2018-11-25,,4.57,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-11-26,,4.58,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-11-27,,4.58,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-11-28,,4.58,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-11-29,,4.59,4.63,4.46,4.43,Rollout of release - Started rollout of 2.2 at 100%
2018-02-23 - 2019-03-27,2018-11-30,,4.60,4.63,4.46,4.43,Rollout of release - Started rollout of 2.3 at 100%
2018-02-23 - 2019-03-27,2018-12-01,,4.61,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-02,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-03,,4.59,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-04,,4.59,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-05,,4.59,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-06,,4.59,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-07,,4.59,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-08,,4.59,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-09,,4.59,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-10,,4.59,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-11,,4.59,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-12,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-13,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-14,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-15,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-16,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-17,,4.60,4.63,4.46,4.43
2018-02-23 - 2019-03-27,2018-12-18,,4.60,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-19,,4.60,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-20,,4.60,4.63,4.45,4.43
2018-02-23 - 2019-03-27,2018-12-21,,4.59,4.63,4.45,4.13
2018-02-23 - 2019-03-27,2018-12-22,,4.58,4.63,4.44,4.13
2018-02-23 - 2019-03-27,2018-12-23,,4.59,4.63,4.44,4.13
2018-02-23 - 2019-03-27,2018-12-24,,4.59,4.63,4.44,4.13
2018-02-23 - 2019-03-27,2018-12-25,,4.58,4.63,4.44,4.13
2018-02-23 - 2019-03-27,2018-12-26,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2018-12-27,,4.56,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2018-12-28,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2018-12-29,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2018-12-30,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2018-12-31,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2019-01-01,,4.57,4.63,4.41,4.13
2018-02-23 - 2019-03-27,2019-01-02,,4.56,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-03,,4.56,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-04,,4.56,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-05,,4.56,4.63,4.43,3.78
